"","1_Exiqon_19715582_S01","1_Exiqon_19715583_S01","1_Exiqon_19715584_S01","1_Exiqon_19715585_S01","1_Exiqon_19715586_S01","1_Exiqon_19715588_S01","1_Exiqon_19715589_S01","1_Exiqon_19715590_S01","1_Exiqon_19715591_S01","1_Exiqon_19715592_S01","1_Exiqon_19715593_S01","1_Exiqon_19715594_S01","1_Exiqon_19715595_S01","1_Exiqon_19715597_S01","1_Exiqon_19715598_S01","1_Exiqon_19715599_S01","1_Exiqon_19715600_S01","1_Exiqon_19715602_S01","1_Exiqon_19715603_S01","1_Exiqon_19715607_S01","1_Exiqon_19715608_S01","1_Exiqon_19715609_S01","1_Exiqon_19715610_S01","1_Exiqon_19715611_S01","1_Exiqon_19715612_S01","1_Exiqon_19715613_S01","1_Exiqon_19715614_S01","1_Exiqon_19715615_S01","1_Exiqon_19715616_S01","1_Exiqon_19715617_S01","1_Exiqon_19715618_S01","1_Exiqon_19715619_S01","1_Exiqon_19715620_S01","1_Exiqon_19715621_S01","1_Exiqon_19715622_S01","1_Exiqon_19715625_S01"
"5S_rRNA",12.408863461034,11.9087441765393,10.9831643314813,12.0531095963817,12.0814021108017,11.8819534964006,12.2660373045279,11.98456655148,12.3246137764201,12.4239868389498,12.1391256802715,11.9238136116101,12.4799174573993,11.7955335204426,11.8607310986414,11.9640942765653,11.6392464396182,11.919502162126,11.8424188642817,11.7442798534971,11.7793692310752,11.8021913966463,12.2292880201986,12.1664893855716,12.1369533647001,11.6196663941998,12.4738577116114,11.9821946491285,11.865377020768,11.5781406065768,11.5645730923514,11.6330852992031,11.777583444425,12.2893959101251,11.829672330544,12.2801995275281
"bkv-miR-B1-3p/jcv-miR-J1-3p",6.32690641084139,6.31363338833069,6.39649572969154,6.38747258601681,6.33734140461132,6.43803155855644,6.39568604845711,6.44924089734007,6.42722169497557,6.42555409439567,6.4072554019139,6.39828150602222,6.39976746674921,6.41116187966267,6.40783203649536,6.40439411610208,6.35623588141587,6.46598223404122,6.40060764668423,6.441903306422,6.44541126842049,6.39790672969669,6.42319746331634,6.50411536694216,6.47924187829011,6.3699478598787,6.34742782289248,6.48558038721306,6.44607774782566,6.51475107351065,6.50286270242152,6.46793148380394,6.40661096055406,6.47021840029137,6.42110940451541,6.44101288594213
"bkv-miR-B1-5p",6.37059409920392,6.37950904163707,6.3880710816468,6.41797648076545,6.39026158013802,6.45063355403774,6.45824945051023,6.46281181309203,6.5006708124796,6.49486334426533,6.48521939606655,6.42084094209735,6.44377589023188,6.46364394279809,6.48731823526698,6.47892072754347,6.47462168669097,6.4444244451282,6.43140299017726,6.49479565307545,6.50607926120113,6.42507749986943,6.49945739884036,6.51836708415522,6.52042798904751,6.43492628481108,6.54805401862531,6.51613431770948,6.52541062893357,6.52716512718926,6.55471360357093,6.52768223427657,6.48148239359555,6.43694896020374,6.48063592714322,6.48185577227953
"ebv-miR-BART1-3p",6.3167939659766,6.32968331102065,6.40102637122641,6.34835858474843,6.30724728596861,6.45446822933495,6.42789746320052,6.45739671478567,6.40643249861366,6.40873880813732,6.36038154262102,6.42768493219492,6.34347604901522,6.46696880033733,6.50306063994863,6.40845762133225,6.35969228144715,6.49253528863442,6.35200470277874,6.44510375040037,6.43707146911728,6.40418374420201,6.70621616476714,6.43258419496501,6.43718670077743,6.41424069751393,6.3985617965765,6.43035705834823,6.3974536468211,6.48022073940824,6.47696131001432,6.46213533490424,6.44723697204257,6.42819689058043,6.4061307837743,6.41790973081646
"ebv-miR-BART1-5p",6.338628506297,6.35049914825404,6.36132507857864,6.35811129455584,6.48246268589411,6.4053836786265,6.47167352306005,6.54165500656316,6.42538676026522,6.5309086406875,6.39928453573423,6.3309570554669,6.38260122656654,6.41125833538038,6.4249454048452,6.36326965393287,6.32020097182858,6.45155448466831,6.34288635100564,6.46526166788386,6.39259615559776,6.43834940516396,6.39993727255382,6.39364862824501,6.4486951599362,6.34970437542608,6.41034173657705,6.41564230165091,6.38212706390712,6.45047278296063,6.46802070775208,6.44018383996649,6.40791333181563,6.42325173213832,6.39613849193509,6.41740235003043
"ebv-miR-BART10-3p",6.30808590663619,6.29797059841577,6.41045679130815,6.34963167863418,6.37981087454022,6.47510085204543,6.38898641235505,6.45091834050557,6.41726689019662,6.46942718234941,6.42767864895172,6.38171530233546,6.41361651209879,6.42510927214105,6.47334813324506,6.38993104737978,6.31345462328656,6.48709376857462,6.42890806638205,6.44496917168446,6.44967988877622,6.49618457608403,6.40376673652139,6.42519468241657,6.41337017236895,6.68865126873775,6.39084668073439,6.41650702802001,6.42193508975993,6.43154327589658,6.50351569598298,6.47056493908614,6.42722840963995,6.4610277573058,6.38861305604332,6.41781832399004
"ebv-miR-BART10-5p",6.29335385101985,6.30216272014615,6.36259974715818,6.32282685144933,6.33711393190028,6.36487926344186,6.3276113817117,6.45562543892275,6.4638330372117,6.4739500950291,6.38352235598111,6.48803471640334,6.34610856266872,6.35965962660618,6.39091210386257,6.40191683907174,6.31322888660031,6.3181634595138,6.29231809829507,6.37167567767875,6.34320603901206,6.30330955837118,6.5165799541035,6.38372090432084,6.45782020562024,6.3696149829386,6.40446601981736,6.43292697432782,6.41341388271552,6.41930154191131,6.5077698239969,6.45039205857126,6.36107132389829,6.37763997076903,6.40991494548557,6.39029831190097
"ebv-miR-BART11-3p",6.30729892730157,6.35155902145271,6.38537069564438,6.38184496391249,6.38293810814596,6.4335338715378,6.41199202906171,6.45261700065827,6.41484554917106,6.41692814095227,6.39387287878697,6.49410218765475,6.42566337431183,6.44273650797306,6.50017870456438,6.48339699665692,6.39032887548112,6.34975721423326,6.37313554581652,6.37388682796763,6.4586790228012,6.4172545252136,6.62226102041692,6.43221313059713,6.4887774051408,6.4150801390909,6.4317468768038,6.46466417500759,6.51975272035496,6.47278584130607,6.52468966708719,6.54918959170636,6.50078743411417,6.46096136463957,6.46671269726548,6.48687027213911
"ebv-miR-BART11-5p",6.30769961705362,6.32119645052766,6.33912089426421,6.35843032598448,6.3007967337249,6.37417348703155,6.35181076644316,6.40156555007683,6.43009802897426,6.45169647932389,6.3713037528095,6.361048656757,6.35826963863816,6.38509600989834,6.37342718925327,6.40278410056697,6.30548341301014,6.31736439443374,6.29175053720157,6.36567919304605,6.38705858921062,6.3433197466499,6.3585024534349,6.40863260456781,6.45442166903028,6.39777498597207,6.37429952891367,6.45128474840218,6.50002724842697,6.41254652671581,6.53446980744205,6.45687032258999,6.38352266691276,6.38628894694456,6.37767921482034,6.42668426585053
"ebv-miR-BART12",6.29815098338165,6.3319086929945,6.34570949304432,6.34733659762504,6.35066864104778,6.37046453306793,6.3536038793789,6.39227524034466,6.43489017263683,6.52567490302614,6.38563178449555,6.46711622446969,6.37394727362584,6.34368761979185,6.3729213101366,6.40919352650301,6.31258439493718,6.41429626577482,6.32395047857412,6.34968124157046,6.35921565960771,6.3442516074998,6.3620755681904,6.44427941921094,6.45490756153264,6.3952362942122,6.43085869288907,6.4353691706411,6.37755366933043,6.43111905407492,6.5751452241228,6.47106492216098,6.40337898785131,6.40018411069799,6.42274006374241,6.40011815369552
